,Var1,Freq,
1,Acritillas indica,13,
2,Alcurus striatus,10,
3,Alophoixus bres,10,
4,Alophoixus flaveolus,10,
5,Alophoixus frater,12,
6,Alophoixus ochraceus,10,
7,Alophoixus pallidus,17,
8,Alophoixus phaeocephalus,12,
9,Alophoixus ruficrissus,11,
10,Alophoixus tephrogenys,13,
11,Andropadus importunus,30,
12,Arizelocichla chlorigula,10,
13,Arizelocichla fusciceps,10,
14,Arizelocichla kikuyuensis,26,
15,Arizelocichla masukuensis,34,
16,Arizelocichla milanjensis,26,
17,Arizelocichla montana,10,
18,Arizelocichla neumanni,10,
19,Arizelocichla nigriceps,16,Will change
20,Arizelocichla striifacies,22,
21,Arizelocichla tephrolaema,10,
22,Atimastillas flavicollis,10,
23,Atimastillas flavigula,10,
24,Baeopogon clamans,10,
25,Baeopogon indicator,10,
26,Bleda canicapillus,19,
27,Bleda eximius,17,
28,Bleda notatus,219,
29,Bleda syndactylus,95,
30,Bleda ugandae,5,
31,Calyptocichla serinus,10,
32,Chlorocichla falkensteini,10,
33,Chlorocichla flaviventris,21,
34,Chlorocichla laetissima,10,
35,Chlorocichla prigoginei,1,Not available
36,Chlorocichla simplex,11,
37,Criniger barbatus,14,
38,Criniger calurus,16,
39,Criniger chloronotus,16,
40,Criniger ndussumensis,11,
41,Criniger olivaceus,13,
42,Eurillas ansorgei,11,
43,Eurillas curvirostris,15,
44,Eurillas gracilis,14,
45,Eurillas latirostris,527,
46,Eurillas virens,153, 
47,Hemixos castanonotus,10,
48,Hemixos cinereus,20,
49,Hemixos flavala,10,
50,Hypsipetes affinis,10,
51,Hypsipetes amaurotis,10,
52,Hypsipetes aureus,1,
53,Hypsipetes borbonicus,4,
54,Hypsipetes catarmanensis,1,
55,Hypsipetes chloris,11,
56,Hypsipetes crassirostris,10,
57,Hypsipetes everetti,13,
58,Hypsipetes ganeesa,10,
59,Hypsipetes guimarasensis,8,
60,Hypsipetes harterti,1,
61,Hypsipetes leucocephalus,10,
62,Hypsipetes longirostris,6,
63,Hypsipetes lucasi,8,
64,Hypsipetes madagascariensis,10,
65,Hypsipetes mindorensis,6,
66,Hypsipetes moheliensis,1,
67,Hypsipetes mysticalis,11,
68,Hypsipetes nicobariensis,15,Check for overlap
69,Hypsipetes olivaceus,5,
70,Hypsipetes parvirostris,10,
71,Hypsipetes philippinus,10,
72,Hypsipetes platenae,1,Not available
73,Hypsipetes rufigularis,10,
74,Hypsipetes siquijorensis,2,No more available
75,Hypsipetes thompsoni,8,No more available
76,Iole cacharensis,7,No more available
77,Iole charlottae,10,
78,Iole crypta,11,
79,Iole finschii,10,
80,Iole palawanensis,10,
81,Iole propinqua,11,
82,Iole viridescens,10,
83,Ixonotus guttatus,11,
84,Ixos leucogrammicus,4,No more available
11,Ixos malaccensis,11,
86,Ixos mcclellandii,11,Can add more from India
87,Ixos sumatranus,7,"No more available, NAs present"
88,Ixos virescens,10,
89,Microtarsus eutilotus,20,
90,Microtarsus fuscoflavescens,10,
91,Microtarsus melanocephalos,13,
92,Microtarsus melanoleucos,11,Will add more
93,Microtarsus nieuwenhuisii,2,"Not available, extremely rare"
94,Microtarsus priocephalus,20,
95,Microtarsus urostictus,10,
96,Neolestes torquatus,10,
97,Nok hualon,1,Can't find any more
98,Phyllastrephus albigula,21,
99,Phyllastrephus albigularis,11,
100,Phyllastrephus baumanni,10,
101,Phyllastrephus cabanisi,63,
102,Phyllastrephus cerviniventris,10,
103,Phyllastrephus debilis,10,
104,Phyllastrephus fischeri,10,
105,Phyllastrephus flavostriatus,15,
106,Phyllastrephus fulviventris,10,
107,Phyllastrephus hypochloris,8,No more available
108,Phyllastrephus icterinus,30,
109,Phyllastrephus lorenzi,1,No more available
110,Phyllastrephus poensis,11,
111,Phyllastrephus poliocephalus,11,
112,Phyllastrephus scandens,12,
113,Phyllastrephus strepitans,11,Clear M-F differences
114,Phyllastrephus terrestris,10,
115,Phyllastrephus viridiceps,0,"Not available, extremely rare"
116,Phyllastrephus xavieri,13,Clear M-F differences
117,Pycnonotus aurigaster,30,
118,Pycnonotus barbatus,44,
119,Pycnonotus bimaculatus,20,
120,Pycnonotus blanfordi,10,
121,Pycnonotus brunneus,10,
122,Pycnonotus cafer,40,
123,Pycnonotus capensis,10,
124,Pycnonotus cinereifrons,10,
125,Pycnonotus conradi,10,
126,Pycnonotus davisoni,10,
127,Pycnonotus finlaysoni,10,
128,Pycnonotus flavescens,11,
129,Pycnonotus goiavier,40,
130,Pycnonotus jocosus,40,
131,Pycnonotus leucogenys,30,
132,Pycnonotus leucops,6,No more available
133,Pycnonotus leucotis,30,
134,Pycnonotus luteolus,11,
135,Pycnonotus nigricans,11,
136,Pycnonotus penicillatus,10,
