"","Var1","Freq"
"1","Acritillas indica",103
"2","Alcurus striatus",75
"3","Alophoixus bres",12
"4","Alophoixus flaveolus",34
"5","Alophoixus frater",29
"6","Alophoixus ochraceus",28
"7","Alophoixus pallidus",235
"8","Alophoixus phaeocephalus",67
"9","Alophoixus ruficrissus",65
"10","Alophoixus tephrogenys",59
"11","Andropadus importunus",55
"12","Arizelocichla chlorigula",12
"13","Arizelocichla fusciceps",10
"14","Arizelocichla kikuyuensis",30
"15","Arizelocichla masukuensis",38
"16","Arizelocichla milanjensis",48
"17","Arizelocichla montana",32
"18","Arizelocichla neumanni",9
"19","Arizelocichla nigriceps",16
"20","Arizelocichla striifacies",29
"21","Arizelocichla tephrolaema",39
"22","Atimastillas flavicollis",23
"23","Atimastillas flavigula",78
"24","Baeopogon clamans",9
"25","Baeopogon indicator",32
"26","Bleda canicapillus",47
"27","Bleda eximius",33
"28","Bleda notatus",254
"29","Bleda syndactylus",124
"30","Bleda ugandae",18
"31","Calyptocichla serinus",21
"32","Chlorocichla falkensteini",36
"33","Chlorocichla flaviventris",68
"34","Chlorocichla laetissima",28
"35","Chlorocichla prigoginei",4
"36","Chlorocichla simplex",35
"37","Criniger barbatus",25
"38","Criniger calurus",56
"39","Criniger chloronotus",24
"40","Criniger ndussumensis",21
"41","Criniger olivaceus",22
"42","Eurillas ansorgei",20
"43","Eurillas curvirostris",58
"44","Eurillas gracilis",53
"45","Eurillas latirostris",629
"46","Eurillas virens",243
"47","Hemixos castanonotus",31
"48","Hemixos cinereus",51
"49","Hemixos flavala",60
"50","Hypsipetes affinis",11
"51","Hypsipetes amaurotis",106
"52","Hypsipetes aureus",1
"53","Hypsipetes borbonicus",11
"54","Hypsipetes catarmanensis",24
"55","Hypsipetes chloris",48
"56","Hypsipetes crassirostris",18
"57","Hypsipetes everetti",90
"58","Hypsipetes ganeesa",105
"59","Hypsipetes guimarasensis",117
"60","Hypsipetes harterti",14
"61","Hypsipetes leucocephalus",65
"62","Hypsipetes longirostris",15
"63","Hypsipetes lucasi",10
"64","Hypsipetes madagascariensis",29
"65","Hypsipetes mindorensis",48
"66","Hypsipetes mysticalis",17
"67","Hypsipetes nicobariensis",15
"68","Hypsipetes olivaceus",26
"69","Hypsipetes parvirostris",17
"70","Hypsipetes philippinus",419
"71","Hypsipetes platenae",3
"72","Hypsipetes rufigularis",47
"73","Hypsipetes siquijorensis",49
"74","Hypsipetes thompsoni",13
"75","Iole cacharensis",8
"76","Iole charlottae",20
"77","Iole crypta",21
"78","Iole finschii",28
"79","Iole palawanensis",70
"80","Iole propinqua",224
"81","Iole viridescens",69
"82","Ixonotus guttatus",35
"83","Ixos leucogrammicus",16
"84","Ixos malaccensis",30
"85","Ixos mcclellandii",228
"86","Ixos sumatranus",17
"87","Ixos virescens",15
"88","Microtarsus eutilotus",20
"89","Microtarsus fuscoflavescens",11
"90","Microtarsus melanocephalos",120
"91","Microtarsus melanoleucos",37
"92","Microtarsus nieuwenhuisii",2
"93","Microtarsus priocephalus",23
"94","Microtarsus urostictus",129
"95","Neolestes torquatus",33
"96","Nok hualon",1
"97","Phyllastrephus albigula",22
"98","Phyllastrephus albigularis",52
"99","Phyllastrephus baumanni",16
"100","Phyllastrephus cabanisi",124
"101","Phyllastrephus cerviniventris",34
"102","Phyllastrephus debilis",17
"103","Phyllastrephus fischeri",32
"104","Phyllastrephus flavostriatus",41
"105","Phyllastrephus fulviventris",114
"106","Phyllastrephus hypochloris",32
"107","Phyllastrephus icterinus",55
"108","Phyllastrephus lorenzi",15
"109","Phyllastrephus poensis",27
"110","Phyllastrephus poliocephalus",12
"111","Phyllastrephus scandens",18
"112","Phyllastrephus strepitans",41
"113","Phyllastrephus terrestris",43
"114","Phyllastrephus viridiceps",10
"115","Phyllastrephus xavieri",27
"116","Pycnonotus aurigaster",143
"117","Pycnonotus barbatus",1521
"118","Pycnonotus bimaculatus",45
"119","Pycnonotus blanfordi",17
"120","Pycnonotus brunneus",54
"121","Pycnonotus cafer",290
"122","Pycnonotus capensis",18
"123","Pycnonotus cinereifrons",25
"124","Pycnonotus conradi",745
"125","Pycnonotus davisoni",10
"126","Pycnonotus finlaysoni",208
"127","Pycnonotus flavescens",68
"128","Pycnonotus goiavier",456
"129","Pycnonotus jocosus",314
"130","Pycnonotus leucogenys",38
"131","Pycnonotus leucops",19
"132","Pycnonotus leucotis",44
"133","Pycnonotus luteolus",50
"134","Pycnonotus nigricans",51
"135","Pycnonotus penicillatus",14
"136","Pycnonotus plumosus",38
"137","Pycnonotus pseudosimplex",12
"138","Pycnonotus simplex",23
"139","Pycnonotus sinensis",104
"140","Pycnonotus snouckaerti",21
"141","Pycnonotus taivanus",88
"142","Pycnonotus tympanistrigus",14
"143","Pycnonotus xantholaemus",15
"144","Pycnonotus xanthopygos",105
"145","Pycnonotus xanthorrhous",14
"146","Pycnonotus zeylanicus",32
"147","Rubigula cyaniventris",27
"148","Rubigula dispar",112
"149","Rubigula erythropthalmos",99
"150","Rubigula flaviventris",476
"151","Rubigula gularis",25
"152","Rubigula melanictera",16
"153","Rubigula montis",16
"154","Rubigula squamata",29
"155","Setornis criniger",31
"156","Spizixos canifrons",118
"157","Spizixos semitorques",39
"158","Stelgidillas gracilirostris",64
"159","Thescelocichla leucopleura",44
"160","Tricholestes criniger",57
